"ID";"EnergySourcesAndTechniques";"EnergyApplication";"Periods";"FinalConsumption_1";"FinalConsumptionRelative_2"
"0";"T001028 ";"E007022 ";"1990JJ00";"21772";"1.2"
"1";"T001028 ";"E007022 ";"1991JJ00";"22528";"1.16"
"2";"T001028 ";"E007022 ";"1992JJ00";"23188";"1.21"
"3";"T001028 ";"E007022 ";"1993JJ00";"23930";"1.2"
"4";"T001028 ";"E007022 ";"1994JJ00";"24303";"1.24"
"5";"T001028 ";"E007022 ";"1995JJ00";"25459";"1.25"
"6";"T001028 ";"E007022 ";"1996JJ00";"27993";"1.27"
"7";"T001028 ";"E007022 ";"1997JJ00";"30871";"1.46"
"8";"T001028 ";"E007022 ";"1998JJ00";"31932";"1.51"
"9";"T001028 ";"E007022 ";"1999JJ00";"33301";"1.6"
"10";"T001028 ";"E007022 ";"2000JJ00";"34689";"1.62"
"11";"T001028 ";"E007022 ";"2001JJ00";"36562";"1.68"
"12";"T001028 ";"E007022 ";"2002JJ00";"40076";"1.85"
"13";"T001028 ";"E007022 ";"2003JJ00";"40600";"1.84"
"14";"T001028 ";"E007022 ";"2004JJ00";"47422";"2.04"
"15";"T001028 ";"E007022 ";"2005JJ00";"57143";"2.48"
"16";"T001028 ";"E007022 ";"2006JJ00";"63478";"2.78"
"17";"T001028 ";"E007022 ";"2007JJ00";"74123";"3.3"
"18";"T001028 ";"E007022 ";"2008JJ00";"82081";"3.6"
"19";"T001028 ";"E007022 ";"2009JJ00";"93660";"4.27"
"20";"T001028 ";"E007022 ";"2010JJ00";"92411";"3.92"
"21";"T001028 ";"E007022 ";"2011JJ00";"99256";"4.53"
"22";"T001028 ";"E007022 ";"2012JJ00";"102676";"4.66"
"23";"T001028 ";"E007022 ";"2013JJ00";"103463";"4.69"
"24";"T001028 ";"E007022 ";"2014JJ00";"108835";"5.42"
"25";"T001028 ";"E007022 ";"2015JJ00";"117192";"5.73"
"26";"T001028 ";"E007022 ";"2016JJ00";"122177";"5.84"
"27";"T001028 ";"E007022 ";"2017JJ00";"136815";"6.5"
"28";"T001028 ";"E007022 ";"2018JJ00";"156304";"7.39"
"29";"T001028 ";"E007022 ";"2019JJ00";"184632";"8.89"
"30";"T001028 ";"E007022 ";"2020JJ00";"223015";"11.47"
"31";"T001028 ";"E007022 ";"2021JJ00";"259671";"12.96"
"32";"T001028 ";"E007022 ";"2022JJ00";"275716";"14.9"
"33";"T001028 ";"E007022 ";"2023JJ00";"306157";"17.15"
"34";"T001028 ";"E006607 ";"1990JJ00";"2914";"0.16"
"35";"T001028 ";"E006607 ";"1991JJ00";"3349";"0.17"
"36";"T001028 ";"E006607 ";"1992JJ00";"3534";"0.18"
"37";"T001028 ";"E006607 ";"1993JJ00";"4061";"0.2"
"38";"T001028 ";"E006607 ";"1994JJ00";"4508";"0.23"
"39";"T001028 ";"E006607 ";"1995JJ00";"5123";"0.25"
"40";"T001028 ";"E006607 ";"1996JJ00";"6628";"0.3"
"41";"T001028 ";"E006607 ";"1997JJ00";"7362";"0.35"
"42";"T001028 ";"E006607 ";"1998JJ00";"8131";"0.38"
"43";"T001028 ";"E006607 ";"1999JJ00";"9108";"0.44"
"44";"T001028 ";"E006607 ";"2000JJ00";"10334";"0.48"
